Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
1,2,1,2,8,6,2,-0.19407
1,1,1,2,3,3,1,0.68007
1,1,1,2,3,2,5,1.7583
1,1,1,2,3,1,2,0.56751
1,1,1,2,3,1,4,0.5078
1,2,1,2,3,1,3,0.36071
1,2,1,2,3,1,5,-1.55061
1,1,1,2,3,1,3,-0.38974
1,1,1,2,3,1,4,-0.23293
1,2,1,2,3,1,4,-0.92345
1,2,1,2,2,2,1,1.15296
1,2,1,2,3,1,4,-0.07943
1,2,1,2,3,8,5,-2.96809
1,2,1,2,3,1,2,0.61177
1,1,1,2,3,1,3,0.07221
1,1,1,2,3,1,4,-0.47184
1,1,1,2,3,3,1,1.27258
1,2,1,2,3,1,4,-0.10235
1,2,1,2,3,2,4,0.63698
1,1,1,2,3,1,5,-0.71365
1,2,1,2,3,1,4,-0.33512
1,2,1,2,4,1,4,0.31097
1,2,1,2,3,2,1,0.65328
